年月日,開盤價(元),最高價(元),最低價(元),收盤價(元),成交量(千股)
2012/06/01,55.33,55.33,54.11,54.11,66924 
2012/06/04,51.81,52.21,51.53,51.81,66008 
2012/06/05,52.48,52.96,52.28,52.96,37616 
2012/06/06,52.96,53.23,52.48,52.69,33715 
2012/06/07,53.77,54.04,53.23,54.04,47699 
2012/06/08,52.14,53.29,52.14,52.75,35987 
2012/06/11,54.11,54.51,53.9,54.45,40596 
2012/06/12,53.16,54.04,53.16,53.77,38319 
2012/06/13,54.72,54.72,53.84,54.18,32284 
2012/06/14,54.18,54.31,53.57,53.63,31161 
2012/06/15,53.63,53.84,52.89,52.89,89900 
2012/06/18,54.18,54.85,54.18,54.72,33737 
2012/06/19,54.78,54.78,54.18,54.51,28910 
2012/06/20,55.06,55.26,54.51,55.26,35326 
2012/06/21,54.51,54.85,54.38,54.58,27063 
2012/06/22,54.18,54.85,54.11,54.24,31117 
2012/06/25,54.72,54.72,53.57,53.9,40786 
2012/06/26,53.5,53.57,53.02,53.29,42391 
2012/06/27,53.02,53.84,52.96,53.7,32770 
2012/06/28,54.18,54.38,53.84,54.11,33113 
2012/06/29,53.9,55.06,53.7,55.06,50919 
2012/07/02,55.19,56.68,55.19,56.41,64377 
2012/07/03,56.61,57.49,56.48,57.02,60850 
2012/07/04,57.65,57.65,57.02,57.02,44220 
2012/07/05,57.58,57.58,56.67,56.88,28556 
2012/07/06,56.88,56.88,56.25,56.81,38187 
2012/07/09,56.11,56.39,55.9,56.18,45060 
2012/07/10,55.76,56.11,55.19,55.54,37141 
2012/07/11,54.84,54.98,54.35,54.84,59419 
2012/07/12,54.42,54.42,53.16,53.16,69235 
2012/07/13,52.6,53.37,52.31,53.23,52310 
2012/07/16,53.58,53.58,53.02,53.02,41994 
2012/07/17,52.31,52.81,52.31,52.53,51879 
2012/07/18,52.67,52.88,52.53,52.53,38710 
2012/07/19,53.93,54.77,53.93,54.42,62113 
2012/07/20,53.65,54.07,53.51,53.86,49932 
2012/07/23,52.74,52.74,51.82,52.17,57536 
2012/07/24,52.17,52.53,52.1,52.53,39973 
2012/07/25,52.67,52.81,52.24,52.38,72480 
2012/07/26,53.16,53.86,52.81,53.58,47155 
2012/07/27,54.7,55.76,54.21,55.69,73460 
2012/07/30,56.18,56.46,55.33,55.47,51381 
2012/07/31,55.12,56.88,55.12,56.88,68248 
2012/08/01,56.25,56.53,55.76,56.18,43525 
2012/08/03,55.83,56.25,55.62,56.04,47301 
2012/08/06,56.81,57.23,56.67,56.81,58469 
2012/08/07,57.09,57.16,56.67,57.16,40186 
2012/08/08,57.51,57.51,56.25,56.53,40138 
2012/08/09,57.09,57.79,57.09,57.79,54299 
2012/08/10,57.79,57.86,57.02,57.58,30075 
2012/08/13,58.85,58.85,57.93,58.07,30295 
2012/08/14,58.28,58.85,58.14,58.42,33337 
2012/08/15,58.78,58.78,57.93,58.28,27500 
