年月日,開盤價(元),最高價(元),最低價(元),收盤價(元),成交量(千股)
2012/06/01,138.96,141.34,135.26,136.05,8003 
2012/06/04,129.71,131.56,127.34,129.45,10242 
2012/06/05,133.94,134.47,132.62,134.21,7144 
2012/06/06,134.73,136.85,133.41,136.05,5583 
2012/06/07,139.49,140.02,137.64,137.64,7639 
2012/06/08,137.9,138.43,133.68,134.21,7138 
2012/06/11,137.38,138.43,135.26,136.32,3730 
2012/06/12,133.15,135.,133.15,134.73,4332 
2012/06/13,136.85,137.11,135.26,136.32,3590 
2012/06/14,137.38,140.02,136.05,137.9,7649 
2012/06/15,138.96,142.13,138.43,140.02,10313 
2012/06/18,143.72,147.15,143.19,146.09,12369 
2012/06/19,146.09,146.62,143.45,145.04,6748 
2012/06/20,146.62,146.89,145.04,145.83,7513 
2012/06/21,145.3,145.83,142.92,143.19,5095 
2012/06/22,142.13,144.77,141.07,144.77,6243 
2012/06/25,146.89,152.17,146.89,148.21,19081 
2012/06/26,148.21,149.26,144.24,145.04,14266 
2012/06/27,145.83,145.83,143.19,143.72,8124 
2012/06/28,146.36,146.36,142.66,143.72,9451 
2012/06/29,144.24,144.51,142.92,144.24,6897 
2012/07/02,144.77,145.3,142.13,142.13,6332 
2012/07/03,143.19,144.51,142.92,144.51,5776 
2012/07/04,144.77,145.83,143.98,145.04,8415 
2012/07/05,145.04,145.83,144.51,144.77,4123 
2012/07/06,145.3,146.62,143.72,144.24,5621 
2012/07/09,144.24,145.83,144.24,145.3,3901 
2012/07/10,145.83,145.83,139.49,140.02,7651 
2012/07/11,137.9,140.28,137.9,139.75,3051 
2012/07/12,140.02,140.02,134.47,135.26,6672 
2012/07/13,135.26,135.26,131.04,131.04,11001 
2012/07/16,134.32,134.6,132.68,133.5,9392 
2012/07/17,134.32,137.34,133.78,137.34,7753 
2012/07/18,137.89,137.89,134.32,134.87,6569 
2012/07/19,137.07,137.07,135.7,135.97,4381 
2012/07/20,136.79,137.34,136.24,137.07,3634 
2012/07/23,134.87,134.87,133.23,133.5,4805 
2012/07/24,133.23,134.05,131.58,133.5,6117 
2012/07/25,131.58,133.23,131.58,132.13,6925 
2012/07/26,133.23,133.78,129.12,129.66,7448 
2012/07/27,132.13,132.68,130.76,131.58,9346 
2012/07/30,133.78,135.97,133.78,135.42,11457 
2012/07/31,135.42,139.81,133.5,139.81,22610 
2012/08/01,147.48,149.4,145.84,149.4,26827 
2012/08/03,152.97,153.79,150.77,152.97,23082 
2012/08/06,155.16,155.43,150.77,150.77,11429 
2012/08/07,152.42,154.34,151.32,154.06,12529 
2012/08/08,155.71,158.17,154.61,154.61,17880 
2012/08/09,155.71,155.98,152.97,154.61,13320 
2012/08/10,155.71,158.45,154.88,155.71,13877 
2012/08/13,157.9,162.29,156.53,160.92,19892 
2012/08/14,162.29,162.29,158.45,159.54,11864 
2012/08/15,159.,160.09,155.71,155.98,15994 
2012/08/16,156.8,160.37,155.71,160.09,11827 
2012/08/17,159.54,163.11,159.27,161.46,11759 
2012/08/20,162.29,164.21,161.74,163.38,10113 
2012/08/21,166.12,167.77,163.66,164.48,16634 
2012/08/22,166.67,166.95,163.66,165.85,10222 
2012/08/23,166.67,171.06,164.75,171.06,22564 
2012/08/24,169.96,175.44,169.41,174.35,24914 
2012/08/27,174.35,174.9,171.61,174.9,10374 
2012/08/28,174.62,174.62,171.61,172.7,10393 
2012/08/29,173.8,175.99,170.78,175.44,14912 
2012/08/30,175.44,176.54,173.53,173.53,10881 
2012/08/31,174.35,175.44,172.98,175.44,10382 
2012/09/03,175.44,176.54,174.35,175.44,6304 
2012/09/04,175.44,179.28,175.44,178.19,9496 
2012/09/05,177.36,178.73,175.72,175.99,8445 
2012/09/06,175.99,177.09,172.15,172.15,10671 
2012/09/07,175.44,177.36,172.7,176.54,16558 
2012/09/10,177.64,184.77,177.36,184.77,20189 
2012/09/11,185.31,186.41,183.67,185.86,10128 
2012/09/12,186.41,186.68,182.85,184.49,10162 
2012/09/13,183.12,185.31,182.57,183.39,8473 
2012/09/14,186.41,188.88,184.77,185.86,11847 
2012/09/17,185.86,185.86,180.1,181.75,11707 
2012/09/18,180.93,184.77,179.83,181.48,10661 
2012/09/19,180.38,180.65,177.36,179.01,13861 
2012/09/20,178.73,180.38,178.19,178.19,11107 
2012/09/21,178.19,178.19,173.8,176.27,13158 
2012/09/24,176.27,181.75,175.99,180.93,13150 
