Metric,Value
最終權益 (Mark-to-Market),968.0
淨利或淨損 (已實現),925.0
最大回撤 (MDD),832.0
總獲利 (已實現),4772.0
總損失 (已實現),-3847.0
總交易次數,96
賺錢交易次數,45
虧錢交易次數,51
勝率,46.88%
單次交易最大獲利,326.0
單次交易最大損失,-298.0
獲利交易中的平均獲利,106.04444444444445
損失交易中的平均損失,-75.43137254901961
賺賠比,1.4058400485226583
最長的連續性獲利的次數,4
最長的連續性損失的次數,5
