Metric,Value
最終權益 (Mark-to-Market),514.0
淨利或淨損 (已實現),514.0
最大回撤 (MDD),113.0
總獲利 (已實現),755.0
總損失 (已實現),-241.0
總交易次數,24
賺錢交易次數,14
虧錢交易次數,10
勝率,58.33%
單次交易最大獲利,172.0
單次交易最大損失,-45.0
獲利交易中的平均獲利,53.92857142857143
損失交易中的平均損失,-24.1
賺賠比,2.237700059276823
最長的連續性獲利的次數,5
最長的連續性損失的次數,3
